Trials ,1,2,3,4,5,6,7,8,9,10,Average
1000,48037,47228,48062,46403,47426,48310,48424,47667,47667,47573,52743
2000,106503,104080,104169,103621,101852,101954,103721,102295,101549,103694,103343
3000,164675,159565,158705,160411,159560,158569,159978,162301,159903,160546,160421
4000,218663,218792,222057,224257,218899,218519,224613,229593,222688,219363,221744
5000,285889,280940,277105,285221,295265,287615,285662,283188,280814,280981,284268
6000,355996,337753,348040,348238,341294,350236,343182,341134,337842,341092,344480
7000,413373,403428,412261,415611,425151,411283,413566,413920,409763,413028,413075
8000,486659,484321,476884,477091,473640,68208,475385,473350,489024,473257,477781
9000,564735,547840,547169,543873,531756,544382,552448,535265,540471,533286,544122
10000,627579,612128,618168,800488,833604,816458,814892,624872,619774,613002,698096
,,,,,,,,,,,
*Time is in nanoseconds.,,,,,,,,,,,